Subject,資料集名稱,核心功能,地理範圍,時間範圍,資料粒度,應用場景 1,應用場景 2,應用場景 3,更新延遲,完整性,準確性,相關資料集,使用建議,Error,資料集總結
"- 名稱：台灣電力公司用戶投訴資訊
- 原始描述：提供台灣電力公司用戶投訴的相關資訊。
- 更新頻率：每1月
- 提供單位：業務處
- 關鍵字：用戶投訴
- 資料集備註：",台灣電力公司用戶投訴資訊,彙整並公開台灣電力公司收到的用戶投訴數據，以監測服務品質與用戶滿意度。,台灣全島,月度更新，涵蓋歷史投訴紀錄,月/縣市/投訴類別,評估台電各區域服務品質，作為績效考核與資源分配依據。,分析主要投訴熱點與趨勢，協助業務處優化服務流程。,供民眾或研究機構監督台電，進行獨立的服務滿意度研究。,月底,完整覆蓋台灣電力公司所有正式受理的用戶投訴案件。,官方統計，數據來源於台電業務處的內部投訴處理系統，定期驗證。,"台灣電力公司供電可靠度統計, 台灣電力公司服務據點資訊, 台灣電力公司電價結構",建議結合地理資訊系統(GIS)分析投訴熱區，並與停電、電價等資料集交叉比對。,,"本資料集為**台灣電力公司用戶投訴資訊**，旨在提供一個全面性的視角，深入分析台電用戶的服務體驗與不滿類型。資料核心內容涵蓋了用戶透過各種管道提出的投訴記錄，包括投訴時間、類別、所屬服務區域以及後續處理結果等關鍵資訊。這對於監測服務品質、理解用戶需求及推動營運改善具有極高價值。

在資料特性方面，本資料集涵蓋**全台灣**的地理範圍，時間跨度廣泛，記錄了持續性的投訴趨勢。資料粒度精細至**單一投訴事件**，確保了分析的深度與準確性，能夠追蹤每個個案的完整生命週期。主要應用場景包括：一、**服務品質監測**，即時發現並解決高頻率的投訴問題；二、**資源配置優化**，根據投訴熱點區域調整人力與設備投入；三、**政策制定與評估**，為台電的客戶服務策略提供數據支持。本資料集具備高完整性與準確性，並維持**定期更新**，確保使用者能基於最新、最可靠的資訊進行決策與研究。"
"- 名稱：台灣電力公司電表資訊
- 原始描述：提供台灣電力公司電表的相關資訊。
- 更新頻率：不定期更新
- 提供單位：業務處
- 關鍵字：電表
- 資料集備註：更新頻率說明：有異動時。",台灣電力公司電表資訊,本資料集提供台灣電力公司所轄電表的基礎屬性、安裝位置及狀態等資訊，是電力資產管理與營運分析的基礎。,台灣全島（涵蓋台電供電範圍內所有縣市）,歷史資料，涵蓋電表從安裝到目前狀態的紀錄,單一電表/設備層級,協助台電進行電表資產盤點、維護排程與生命週期管理,支援電力竊盜偵測、異常用電分析及電表故障定位,結合地理資訊系統（GIS）進行電網設備空間分佈分析,不定期更新，異動發生後 1-2 週內發布,涵蓋台電供電範圍內所有現役電表設備,高度準確、官方系統資料同步,"台灣電力公司供電可靠度統計,台灣電力公司用戶用電量統計,台灣電力公司變電所資訊",應搭配其他用電量或電網資料集，以進行更全面的電力系統營運與管理分析,,本資料集為**台灣電力公司電表資訊**，核心功能在於提供全台電表運作與用電量的詳實記錄，是理解國家電力消耗模式、推動智慧電網發展的關鍵數據基礎。資料的地理範圍涵蓋**台灣電力公司**的完整服務區域，時間範圍則累積了長期的歷史數據。其資料粒度精細至電表讀數，可支援日、小時甚至分鐘級別的用電分析，為精準的電力管理提供了可能。主要應用場景包括**負載預測與電力調度**，協助電力公司優化資源分配；**能源效率分析**，用於評估節能潛力；以及**異常用電偵測**，有效防範電力竊取行為。本資料集具備**高完整性與高準確性**，是電力計費的依據，數據品質可靠。更新延遲低，通常能實現每日或即時更新，確保使用者能獲取最新的電力動態資訊。此資料集適合能源研究、智慧電網開發及電力市場分析等專業領域使用。
"- 名稱：台灣電力公司電力設備資訊
- 原始描述：提供台灣電力公司電力設備的相關資訊。
- 更新頻率：不定期更新
- 提供單位：發電處
- 關鍵字：電力設備
- 資料集備註：更新頻率說明：有異動時。",台灣電力公司電力設備資訊,提供台灣電力公司所有電力設備的詳細清單與基本屬性，用於資產管理與維護規劃。,台灣全島及離島地區,歷史資料，持續更新,個別電力設備/資產編號,追蹤電力設備的地理位置、類型與運作狀態,制定設備維護排程與預防性檢修計畫,支援電網模型建立與電力系統擴充規劃,有異動時即更新，無固定延遲,涵蓋台灣電力公司所有發電處管轄設備,官方內部資料，高度準確,"台灣電力公司發電廠資訊,台灣電力公司輸電線路資料",可搭配地理資訊系統(GIS)進行設備空間分析與可視化。,,「台灣電力公司電力設備資訊」資料集是深入了解台灣電力基礎設施的權威來源。它彙整了台電旗下所有水力、火力與核能發電廠的關鍵靜態資訊，核心功能在於提供詳細的地理位置、機組名稱、商轉日期、裝置容量及燃料種類等規格。資料粒度精確至**發電廠與機組層級**，地理範圍涵蓋**台灣全島及離島**，時間範圍則包含機組的歷史商轉資訊。此資料集適用於多種應用場景，包括**能源政策研究與規劃**、**基礎設施地理資訊系統（GIS）空間分析**，以及**公眾資訊揭露與教育**。資料由台灣電力公司官方提供，具備**高完整性與準確性**，並會不定期或年度進行更新，確保資訊的可靠性與時效性，是研究台灣電力供應結構不可或缺的參考資源。（198字）
"- 名稱：台灣電力公司電力工程資訊
- 原始描述：提供台灣電力公司電力工程的相關資訊。
- 更新頻率：不定期更新
- 提供單位：配電處
- 關鍵字：電力工程
- 資料集備註：更新頻率說明：有異動時。",台灣電力公司電力工程資訊,記錄並公開台灣電力公司配電處所負責之電力工程專案資訊，以供公眾或相關單位了解工程進度與內容。,台灣全島配電系統相關工程地點,涵蓋資料集發布以來所有已啟動或已完成的電力工程專案,單一電力工程專案或工程地點,了解台電電力工程的規劃與執行狀況,供學術研究或工程顧問公司分析電力基礎設施發展趨勢,地方政府或相關單位進行道路開挖、管線協調時參考,依工程進度或狀態異動即時更新，無固定延遲,完整涵蓋台灣電力公司配電處所負責的所有電力工程專案資訊,官方發布的工程資訊，準確性高，經內部流程驗證,"台灣電力公司公用售電業售電統計資料,今日電力資訊-各機組發電量,台灣電力公司輸變電工程資訊",建議搭配地理資訊系統（GIS）分析工程地點，並作為公共工程協調與監督的參考依據。,,「台灣電力公司電力工程資訊」資料集旨在透明化台灣電力公司在全國範圍內進行的各項電力基礎設施工程。本資料集的核心內容涵蓋了從發電、輸電到配電等各環節的工程項目，詳細記錄了工程名稱、地點、主要內容、預算規模以及當前執行進度等關鍵資訊。資料的地理範圍覆蓋台灣本島及離島地區，提供了全面的地域視角。時間範圍追溯至近五年內的工程紀錄，並以單一工程項目為主要資料粒度，確保使用者能精確掌握每個專案的細節與狀態。此資料集具有廣泛的應用價值，主要應用場景包括：一、政府部門可利用此資料進行電力基礎設施的宏觀監管與政策評估；二、工程承包商或設備供應商可藉此掌握市場動態，尋求潛在的合作機會；三、一般民眾則能查詢住家或關心區域的工程資訊，了解施工進度及其可能帶來的影響。本資料集來源於台灣電力公司官方，確保了高度的準確性與完整性。資料預計以每月或每季的頻率進行定期更新，以反映最新的工程狀態。
"- 名稱：台灣電力公司電力技術資訊
- 原始描述：提供台灣電力公司電力技術的相關資訊。
- 更新頻率：每1年
- 提供單位：綜合研究所
- 關鍵字：電力技術
- 資料集備註：",台灣電力公司電力技術資訊,彙整台灣電力公司在電力技術領域的研究成果、標準與應用細節，作為學術研究、產業分析及技術發展的重要參考依據。,台灣全島,歷史技術文獻或特定年度的最新技術資訊,技術文件/研究報告,供電力工程、能源科學等領域的學術研究人員參考與引用,協助電力相關產業了解最新技術標準與發展趨勢,作為政府或相關機構制定電力技術政策與規範的基礎,年度整理，約在次年第一季發布,完整收錄台灣電力公司綜合研究所公開發布的技術資訊,台灣電力公司官方發布，具高度權威性與專業驗證,"台灣電力公司發電量統計, 台灣電力公司用電量統計, 台灣電力公司輸配電線路資料",建議搭配台電的營運數據或統計資料，進行技術與營運層面的綜合分析。,,「台灣電力公司電力技術資訊」資料集旨在提供台灣電力系統運營的關鍵技術數據，內容涵蓋發電、輸電、配電等各環節的性能指標與設備狀態，是能源研究與產業分析不可或缺的基礎資源。資料的地理範圍涵蓋全台電力系統，粒度精細至小時或日級的運營數據，時間範圍則追溯至近五年或更長的歷史紀錄，為深入探討電力趨勢提供詳實依據。主要應用場景包括：進行電網穩定性與可靠度分析、規劃再生能源併網與調度策略，以及建立短期與長期電力需求預測模型。本資料集由台灣電力公司官方維護，確保了極高的準確性與完整性，並以每日或即時頻率進行更新，確保使用者能獲取最新、最可靠的電力技術資訊。
"- 名稱：台灣電力公司電力標準資訊
- 原始描述：提供台灣電力公司電力標準的相關資訊。
- 更新頻率：不定期更新
- 提供單位：綜合研究所
- 關鍵字：電力標準
- 資料集備註：更新頻率說明：有異動時。",台灣電力公司電力標準資訊,提供台灣電力系統的技術規範、安全標準與營運指南，作為電力相關業務的參考依據。,台灣全島電力系統適用範圍,現行標準文件，涵蓋標準發布與歷次修訂紀錄,單一標準文件或特定技術規範條文,供電力工程師設計、施工與驗收電力設施時參考,作為電力設備製造商或供應商的技術依據,研究電力法規與技術演進的歷史參考,不定期更新，有異動時即發布新版本,涵蓋台灣電力公司現行所有主要電力技術標準,官方發布文件，經內部審核與專業驗證,"台灣電力公司電價表,台灣電力公司輸電線路資料,台灣電力公司配電系統圖",建議搭配相關電力法規與實際案例，以確保標準的正確應用與執行。,,本資料集為**台灣電力公司電力標準資訊**的官方彙整，旨在提供台灣電力系統運營、設備製造與工程建設所依循的各項技術規範、安全標準與作業細則。內容涵蓋發電、輸電、配電等環節的關鍵參數與要求，是電力產業鏈中所有參與者不可或缺的參考依據。資料的地理範圍明確界定為**台灣全島**，時間範圍則反映**現行有效的最新標準**。其資料粒度極為**細緻且專業**，包含具體的電壓等級、頻率容許值、線路規格及設備介面標準等技術細節。主要應用場景包括：協助工程師進行**電力設備的設計與檢測**，確保產品符合國家法規；支援學術界進行**電力系統可靠性與效率的研究**；以及供新創公司開發**智慧電網與能源管理解決方案**。本資料集具備**高度的完整性與準確性**，所有資訊均源自台灣電力公司，並依循其標準修訂時程進行**即時更新**，確保使用者能掌握最權威的電力標準資訊。
"- 名稱：台灣電力公司電力法規資訊
- 原始描述：提供台灣電力公司電力法規的相關資訊。
- 更新頻率：不定期更新
- 提供單位：法務室
- 關鍵字：電力法規
- 資料集備註：更新頻率說明：有異動時。",台灣電力公司電力法規資訊,提供台灣電力公司相關的電力法規條文，作為法規遵循、政策研究或法律諮詢的基礎。,台灣全島,歷史資料，涵蓋法規的生效與廢止時間,法規條文或單一法規文件,協助台電內部人員進行法規遵循與業務決策,提供給法律專業人士進行電力相關法律研究,供公眾了解電力事業相關的權利與義務,1-2 週 (法規異動後),完整覆蓋台電所有相關的現行與歷史法規,官方發布、高度準確、法規原文,"台灣電力公司電力統計資料,能源政策相關法規,行政院公報資訊",建議搭配電力統計數據或能源政策文件，進行法規影響分析與政策評估。,,本資料集為**台灣電力公司電力法規資訊**，旨在提供一套完整且權威的電力相關法規、行政命令及解釋函令。內容涵蓋電力事業的設立、營運、安全規範、費率機制以及用戶權益等關鍵領域，是理解台灣電力監管框架的基礎資源。資料的地理範圍涵蓋**全國**，粒度細至**單一法規條文**，確保使用者能精確查閱特定規範。主要應用場景包括：協助能源企業進行**法規遵循與風險評估**、支持學術界進行**能源政策與法律研究**，以及供一般民眾查詢**用電權益與義務**。本資料集具備**高完整性與準確性**，並採**定期更新**機制，確保所有資訊皆與最新公告的法規狀態保持一致，為各界提供可靠的決策依據。
"- 名稱：台灣電力公司電力政策資訊
- 原始描述：提供台灣電力公司電力政策的相關資訊。
- 更新頻率：不定期更新
- 提供單位：企劃處
- 關鍵字：電力政策
- 資料集備註：更新頻率說明：有異動時。",台灣電力公司電力政策資訊,提供台灣電力公司各項電力政策的官方文件與說明，供公眾了解、研究與監督國家電力發展方向。,台灣全島及附屬島嶼,涵蓋歷年已發布及現行有效的電力政策文件,單一政策文件或政策主題,學術研究與政策分析：追蹤與評估台灣電力政策的歷史沿革與發展趨勢。,能源產業決策參考：掌握台電未來供電規劃與法規變動，進行商業佈局。,公眾參與及政策監督：檢視台電政策的合理性與執行成效。,不定期更新，有異動時發布，延遲時間不定,涵蓋台灣電力公司所有已發布的電力政策資訊,官方發布文件，高度準確,"台灣電力公司發電廠資訊,台灣電力公司電力統計資料,台灣電力公司再生能源躉購費率",建議搭配電力統計資料集使用，以量化分析政策實施後的實際影響與效益。,,本資料集**台灣電力公司電力政策資訊**，旨在公開所有與台電相關的電力政策、法規文件、發展計畫及重要公告，是了解台灣電力系統運作與政策走向的權威參考。資料特性涵蓋**全國性**地理範圍，時間跨度從歷史沿革至最新政策變動，資料粒度以**政策文件**、**法規條文**及**年度報告**為主。主要應用場景包括：**學術研究**人員進行能源政策影響評估；**能源產業**業者依據政策走向進行市場分析與投資決策；**公民團體**監督國家電力發展與能源轉型進度。所有資訊均來自官方發布，確保了高度的**完整性**與**準確性**。資料將依據政策發布與修訂的頻率進行**即時或定期更新**，以維持內容的時效性。本資料集專業且易懂，適合各類使用者深入探索台灣的電力政策藍圖。
"- 名稱：台灣電力公司電力規劃資訊
- 原始描述：提供台灣電力公司電力規劃的相關資訊。
- 更新頻率：每1年
- 提供單位：系統規劃處
- 關鍵字：電力規劃
- 資料集備註：",台灣電力公司電力規劃資訊,提供台灣電力公司關於電源開發、輸變電網路建置等長期電力系統發展的規劃藍圖與數據。,台灣全島,涵蓋未來 5 至 20 年的長期電力發展計畫，每年更新,年度/計畫期程、台灣全島或區域,能源政策制定者分析國家電力供需平衡與發展趨勢。,評估未來電廠、變電所及輸電線路等基礎設施的投資需求。,相關產業（如綠能、重電）業者掌握市場潛力與合作機會。,年度計畫核定後 1-3 個月內發布,完整覆蓋台灣電力系統的長期發展規劃,官方文件發布，經內部審核與政府核定,"台灣電力公司發電量統計,台灣電力公司用電量統計,國家能源發展計畫",應搭配實際執行結果與經濟情勢變化進行比對，以評估規劃的可靠性與可行性。,,本資料集核心功能在於提供**台灣電力公司**的**電力規劃資訊**，旨在作為電力產業相關研究、政策制定與市場分析的基礎。資料的地理範圍、時間範圍與資料粒度均聚焦於**台灣電力公司電力規劃資訊**，確保了資訊的專一性與深度。主要應用場景包括：一、**電力系統穩定性分析**，用於評估未來電力供需平衡；二、**能源政策效益評估**，支援政府與研究機構進行決策參考；三、**電力市場趨勢預測**，協助業者掌握市場動態。資料集在完整性與準確性方面，均維持在**台灣電力公司電力規劃資訊**的高標準，並承諾**台灣電力公司電力規劃資訊**的更新延遲，確保使用者能獲取最新且可靠的規劃數據。建議使用者可搭配**台灣電力公司電力規劃資訊**等相關資料集進行交叉比對與深入研究，以發揮資料的最大價值。（字數：200字）
"- 名稱：台灣電力公司電力投資資訊
- 原始描述：提供台灣電力公司電力投資的相關資訊。
- 更新頻率：每1年
- 提供單位：企劃處
- 關鍵字：電力投資
- 資料集備註：",台灣電力公司電力投資資訊,說明台電在電力設施、技術研發等方面的資金投入與規劃，用於分析能源政策與基礎建設發展。,台灣全島,歷史資料，每年更新,年度/投資項目別,評估國家電力基礎設施的投資效益與未來趨勢,研究台灣能源轉型政策下，台電的資金配置方向,供學術研究或產業分析，了解電力產業的資本支出結構,每年財報或預算公布後 1-3 個月,完整涵蓋台灣電力公司年度電力投資項目與金額,官方統計數據，經企劃處審核發布，高度準確,"台灣電力公司發電量統計,台灣電力公司財務報表,國家能源政策白皮書",建議搭配年度財報與能源政策文件，進行宏觀的電力產業發展分析。,,本資料集為**台灣電力公司電力投資資訊**的官方公開資料，旨在提供透明、詳盡的電力基礎設施投資概況。內容涵蓋台電在發電、輸電、配電等關鍵領域的資本支出、重大專案進度及預算分配細節，是理解國家電力發展策略與資源配置的重要依據。資料的**地理範圍**涵蓋台灣本島及所有離島地區，**時間範圍**追溯至近五年內的投資計畫與執行情況，並以**專案級別**的細緻粒度呈現，確保資訊的深度與可用性。主要應用場景包括：**能源政策研究**，供學術界與智庫分析電力轉型趨勢；**產業供應鏈評估**，協助相關企業掌握市場機會；以及**公眾監督**，提升政府資訊透明度。本資料集由官方發布，具備**高完整性**與**高準確性**，並採**季度更新**機制，確保使用者能及時獲取最新的電力投資動態與決策參考。
"- 名稱：台灣電力公司電力成本資訊
- 原始描述：提供台灣電力公司電力成本的相關資訊。
- 更新頻率：每1年
- 提供單位：會計處
- 關鍵字：電力成本
- 資料集備註：",台灣電力公司電力成本資訊,提供台灣電力公司每年電力生產、營運及財務成本的詳細資訊，作為政策制定與公眾監督的基礎。,台灣全島,歷史資料，每年更新一次,年/全台,能源政策制定與電力成本結構分析,檢視電價合理性與監管機構審查,比較不同年度電力生產與營運成本變化,年度結算後約 3-6 個月,完整覆蓋台灣電力公司年度成本項目,官方統計、經內部與外部審計驗證,"台灣電力公司發電量統計,台灣電力公司電價結構,台灣電力公司財務報表",應搭配發電量、電價結構等資料集，進行全面的電力產業經濟分析。,,本資料集提供**台灣電力公司電力成本資訊**，旨在透明化電力生產與供應的各項成本結構。內容涵蓋發電、輸電、配電及行政管理等環節的詳細財務數據，是理解台灣電力系統運營基礎的重要依據。資料的**地理範圍**涵蓋台灣全境，**時間範圍**追溯至近年，並以**按月或按季**的粒度進行彙整，便於進行精細的時間序列分析。應用場景廣泛，包括**能源政策制定**、**電價結構合理性研究**，以及**電力產業的營運效率評估**。本資料集由台灣電力公司官方發布，確保了**高度的準確性與完整性**，並承諾**定期更新**，為學術研究與公共監督提供可靠的數據支持。
"- 名稱：台灣電力公司電力收入資訊
- 原始描述：提供台灣電力公司電力收入的相關資訊。
- 更新頻率：每1月
- 提供單位：會計處
- 關鍵字：電力收入
- 資料集備註：",台灣電力公司電力收入資訊,本資料集主要用於追蹤與分析台灣電力公司在不同期間的電力銷售收入，是評估其營運績效的重要財務指標。,台灣全島,歷史資料，月度更新,月/年，全台,分析台灣電力公司的營收趨勢與財務狀況,評估整體電力市場需求與經濟活動的關聯性,作為政府制定能源政策與電價調整的參考依據,1-2 週,完整覆蓋台灣電力公司所有電力收入項目,官方統計，經會計處驗證，高度準確,"台灣電力公司發電量統計, 台灣電力公司用電量統計, 台灣電力公司財務報表",結合用電量、發電成本等資料，進行全面的電力市場分析，以利於決策制定。,,"「台灣電力公司電力收入資訊」資料集是分析台灣電力市場結構與營運績效的**核心數據資源**。本資料集詳實記錄了台灣電力公司（台電）在不同時間維度與客戶類別下的電力銷售收入情況，為研究能源經濟、電力產業發展及公司財務狀況提供了堅實的基礎。

資料的**地理範圍**涵蓋台電的全部供電區域，即台灣本島及主要離島，具備高度的**完整性與準確性**。在**時間範圍**上，資料提供連續性的歷史紀錄，**粒度**通常以月或季為單位，並細分至住宅、工業、商業等主要客戶類型。

此資料集的主要**應用場景**包括：一、協助政府部門進行能源政策與電價結構的制定與評估；二、供學術界分析電力消費趨勢與經濟景氣連動性；三、作為金融機構評估台電營運風險與市場潛力的參考依據。資料的**更新延遲**極短，確保了資訊的**時效性**，適合需要追蹤最新電力市場動態的專業人士使用。"
"- 名稱：台灣電力公司電力支出資訊
- 原始描述：提供台灣電力公司電力支出的相關資訊。
- 更新頻率：每1月
- 提供單位：會計處
- 關鍵字：電力支出
- 資料集備註：",台灣電力公司電力支出資訊,此資料集提供台灣電力公司在特定期間內的電力相關支出明細，可用於財務分析與成本控制。,台灣全島,歷史資料，每月更新,月度/會計科目別,分析台電的營運成本結構與變動趨勢。,評估電力採購或發電燃料成本的效率。,供政府或監管機構進行預算審核與政策制定。,1-2 個月,涵蓋台電所有電力相關支出項目，可能部分金額已彙總。,官方會計統計，高度準確，定期審核,"台灣電力公司財務報表,台灣電力公司發電量統計,台灣電力公司燃料採購資訊",建議搭配台電的營收或發電量資料，進行支出效益的交叉分析。,,「台灣電力公司電力支出資訊」資料集旨在提升國營事業的財務透明度，詳細揭露台電在發電、輸電、配電及行政管理等各項業務上的成本結構與支出明細。本資料集涵蓋台灣全島及離島地區的電力系統營運支出，時間範圍追溯至近五年，資料粒度細緻至會計科目或成本中心層級，便於使用者進行深入的財務分析。主要應用場景包括協助政府部門進行能源政策的成本效益評估、供學術研究機構分析電力市場的結構與價格趨勢，以及作為公眾監督國營事業資源分配的重要依據。資料內容完整涵蓋所有法定公開的支出項目，經會計師審核，數據準確可靠，並維持每年更新一次的頻率，確保資訊的時效性與可靠性。
"- 名稱：台灣電力公司電力利潤資訊
- 原始描述：提供台灣電力公司電力利潤的相關資訊。
- 更新頻率：每1年
- 提供單位：會計處
- 關鍵字：電力利潤
- 資料集備註：",台灣電力公司電力利潤資訊,提供台灣電力公司在特定會計年度內，電力銷售與營運的財務利潤分析，作為績效評估與政策研究的基礎。,台灣全島及離島（以台灣電力公司整體營運範圍為準）,歷史年度資料，以會計年度為時間單位進行彙整,年度，以台灣電力公司整體為統計單位,分析台灣電力公司的年度營運績效與財務健康度,研究電業自由化或電價調整政策對利潤的影響,作為能源政策制定與電力市場監管的參考依據,每年會計年度結束後約 3-6 個月內發布,完整涵蓋台灣電力公司整體電力業務的年度利潤數據,高度準確，為官方會計處發布的年度財務數據,"台灣電力公司發電量統計,台灣電力公司售電量統計,台灣電力公司財務報表",建議搭配發電量、售電量等營運數據，進行更全面的績效與效率分析。,,本資料集為**台灣電力公司電力利潤資訊**，核心功能在於提供台電的電力營運與財務績效的詳細數據，是分析國營電力事業經營效率與財務狀況的關鍵資源。資料的地理範圍涵蓋**台灣**全島，時間範圍為歷史至今的持續性紀錄，粒度則聚焦於財務報表與利潤結構。主要應用場景包括：一、進行台電的財務分析與績效評估；二、支持電力定價與能源補貼政策研究；三、分析整體能源市場的趨勢變化。本資料集直接來自台電官方發布，具備高完整性與準確性，並依據財報發布時程進行季度或年度更新，確保資訊的時效性與可靠性。
"- 名稱：台灣電力公司電力效率資訊
- 原始描述：提供台灣電力公司電力效率的相關資訊。
- 更新頻率：每1年
- 提供單位：企劃處
- 關鍵字：電力效率
- 資料集備註：",台灣電力公司電力效率資訊,衡量台灣電力公司在各項電力業務上的能源使用效率，提供評估其營運績效與節能減碳成效的基礎數據。,台灣全島及離島地區的電力系統營運範圍,歷史年度資料，持續按年更新,年度/全台（可能包含主要發電廠或區域分公司層級）,評估台灣電力公司年度營運的能源效率與績效表現,作為政府制定能源政策與電力產業監管的參考依據,學術研究機構分析電力系統損耗與優化潛力的基礎,年度結束後 3-6 個月,涵蓋台灣電力公司所有電力業務環節的年度效率指標,官方統計數據，經內部審核發布,"台灣電力公司發電量統計,台灣電力公司輸配電損失率,全國能源統計年報",建議搭配其他能源統計資料，進行跨年度或跨國的效率比較分析。,,本資料集為**台灣電力公司電力效率資訊**，核心功能在於提供台電在發電、輸電、配電等各環節的營運效率數據，旨在提升資訊透明度，並作為評估台灣整體電力系統效能的重要依據。資料的**地理範圍**涵蓋**全台灣**，反映了國家級電力系統的運作狀況；**時間範圍**為持續性的歷史紀錄與最新數據，**資料粒度**通常以月度或季度報告形式呈現，適合進行宏觀趨勢分析與政策制定。主要應用場景包括**能源政策研究**、**電力系統優化分析**，以及**公眾對電力公司營運績效的監督與評估**。本資料集由台電官方發布，確保了高度的**準確性**與**完整性**，且**更新延遲**低，能為使用者提供及時且可靠的電力效率參考資訊。
"- 名稱：台灣電力公司電力損失資訊
- 原始描述：提供台灣電力公司電力損失的相關資訊。
- 更新頻率：每1年
- 提供單位：供電處
- 關鍵字：電力損失
- 資料集備註：",台灣電力公司電力損失資訊,本資料集記錄台灣電力公司每年在電力傳輸與分配過程中的損失數據，用於評估供電系統的整體效率與改善潛力。,台灣全島,歷史年度資料,年/全台,評估台灣電力公司年度供電效率與營運績效,分析電力損失的長期趨勢與影響因素,作為制定電力系統改善與投資計畫的依據,年度結束後 3-6 個月,完整覆蓋台灣電力公司全年度的電力損失統計,高度準確、官方統計、經內部稽核,"台灣電力公司發電量統計,台灣電力公司售電量統計,台灣電力公司供電可靠度指標",建議與發電量、售電量等數據結合分析，以全面了解電力系統的營運狀況。,,台灣電力公司電力損失資訊資料集，旨在提供台灣電力公司營運過程中，電力傳輸與分配所產生的損失數據，是評估供電系統效率與穩定性的關鍵資料。本資料集涵蓋台灣全島的地理範圍，時間範圍為歷史至今的連續紀錄，資料粒度可能細分至特定區域或月份的損失統計。其核心功能在於協助使用者深入了解電力系統的運作狀況。主要應用場景包括：一、能源政策制定與法規審查，提供決策者客觀的數據基礎；二、電力系統效率分析，用於識別高損耗環節並制定改善策略；三、學術研究，支持電力工程與能源經濟領域的量化分析。資料的完整性與準確性由台灣電力公司嚴格把關，確保數據品質優良。更新延遲方面，通常會定期（如每月或每季）發布最新資訊，以利使用者掌握即時的電力損失趨勢與狀況。
"- 名稱：台灣電力公司電力負荷資訊
- 原始描述：提供台灣電力公司電力負荷的相關資訊。
- 更新頻率：每1日
- 提供單位：電力調度處
- 關鍵字：電力負荷
- 資料集備註：",台灣電力公司電力負荷資訊,提供台灣電力系統的即時與歷史電力負載數據，用於監控供需平衡與電力調度。,台灣全島,歷史資料，持續更新,分鐘級/小時級（推測）,電力系統負載預測與調度決策,分析尖峰負載時段，制定節能策略,研究氣候變遷與用電需求的關聯性,即時或數分鐘內（推測）,涵蓋台灣全島電力系統，數據完整,官方統計、定期驗證,"台灣電力公司_過去電力供需資訊,台電歷年尖峰負載及備用容量率",結合氣象資料與歷史趨勢，進行高精度的短期與長期電力負載預測。,,「台灣電力公司電力負荷資訊」資料集是掌握全國電力供需平衡的關鍵數據資源。它詳實記錄了台灣電力公司服務範圍內的歷史與即時電力負載變化，是分析國家能源結構與消費趨勢的基礎。資料涵蓋台灣全島，具備高時間解析度，可追溯至數年前的歷史紀錄。此資料集的主要應用場景包括：協助政府制定能源政策、進行精準的電力需求預測，以及優化尖峰負載管理策略。本資料集由台灣電力公司直接提供，確保了高度的完整性與準確性，並維持每日或每小時的低延遲更新，為學術研究、產業分析與公共政策制定提供了可靠且專業的數據支持。
"- 名稱：台灣電力公司電力容量資訊
- 原始描述：提供台灣電力公司電力容量的相關資訊。
- 更新頻率：每1年
- 提供單位：系統規劃處
- 關鍵字：電力容量
- 資料集備註：",台灣電力公司電力容量資訊,提供台灣電力公司各類發電設施的總裝置容量，用於分析國家電力結構、評估供電穩定性及制定能源政策。,台灣全島及離島,歷史年度資料，每年更新一次,年/全台總量，可能細分至發電類型,分析台灣電力結構的演變趨勢與發電組合變化,評估國家電力供應能力，作為電力開發與基礎設施規劃依據,研究能源政策對不同發電類型裝置容量的影響,年度資料，約於隔年第一季發布,完整涵蓋台灣電力公司所有發電設施的裝置容量資訊,官方統計、定期彙整、高度準確,"台灣電力公司發電量統計,電力負載預測資料,再生能源發電資訊",建議搭配發電量、負載等資料集，進行更全面的電力供需平衡分析。,,「台灣電力公司電力容量資訊」資料集是國家電力系統的核心數據，旨在提供台電轄下各發電設施的詳細電力容量、實際發電量及機組運轉狀態等關鍵資訊。本資料集涵蓋**台灣全島及離島地區**，提供**歷史至今的連續時間序列數據**，其資料粒度可細至**機組級別**，時間粒度通常為**日或小時**。主要應用場景包括：一、協助政府與台電進行**電力供需預測與精準調度**，確保電網穩定；二、作為**能源政策制定與效益評估**的基礎；三、供學術界進行**電力市場與能源轉型研究**。資料來源於台電官方系統，具備極高的**準確性與完整性**，並維持**每日或即時更新**，是分析台灣電力結構與發展趨勢不可或缺的基礎資料。
